method,transition,metric,variable,value
jan,dm6->ce11,accuracy,better_count,0
jan,dm6->ce11,pr_auc,better_count,0
jan,dm6->ce11,roc_auc,better_count,0
jan,ce11->dm6,accuracy,better_count,1
jan,ce11->dm6,pr_auc,better_count,1
jan,ce11->dm6,roc_auc,better_count,2
mcc,dm6->ce11,accuracy,better_count,1
mcc,dm6->ce11,pr_auc,better_count,1
mcc,dm6->ce11,roc_auc,better_count,0
mcc,ce11->dm6,accuracy,better_count,2
mcc,ce11->dm6,pr_auc,better_count,1
mcc,ce11->dm6,roc_auc,better_count,2
mcd,dm6->ce11,accuracy,better_count,1
mcd,dm6->ce11,pr_auc,better_count,2
mcd,dm6->ce11,roc_auc,better_count,2
mcd,ce11->dm6,accuracy,better_count,2
mcd,ce11->dm6,pr_auc,better_count,2
mcd,ce11->dm6,roc_auc,better_count,2
mdd,dm6->ce11,accuracy,better_count,0
mdd,dm6->ce11,pr_auc,better_count,0
mdd,dm6->ce11,roc_auc,better_count,0
mdd,ce11->dm6,accuracy,better_count,1
mdd,ce11->dm6,pr_auc,better_count,1
mdd,ce11->dm6,roc_auc,better_count,2
adda,dm6->mm10,accuracy,worse_count,-3
adda,dm6->mm10,pr_auc,worse_count,-3
adda,dm6->mm10,roc_auc,worse_count,-3
adda,hg38->mm10,accuracy,worse_count,-54
adda,hg38->mm10,pr_auc,worse_count,-57
adda,hg38->mm10,roc_auc,worse_count,-55
adda,hg38->dm6,accuracy,worse_count,-1
adda,hg38->dm6,pr_auc,worse_count,-2
adda,hg38->dm6,roc_auc,worse_count,-1
adda,dm6->hg38,accuracy,worse_count,-3
adda,dm6->hg38,pr_auc,worse_count,-3
adda,dm6->hg38,roc_auc,worse_count,-2
adda,mm10->hg38,accuracy,worse_count,-57
adda,mm10->hg38,pr_auc,worse_count,-58
adda,mm10->hg38,roc_auc,worse_count,-57
adda,mm10->dm6,accuracy,worse_count,0
adda,mm10->dm6,pr_auc,worse_count,-1
adda,mm10->dm6,roc_auc,worse_count,-2
afn,dm6->mm10,accuracy,worse_count,-2
afn,dm6->mm10,pr_auc,worse_count,-2
afn,dm6->mm10,roc_auc,worse_count,-2
afn,hg38->mm10,accuracy,worse_count,-44
afn,hg38->mm10,pr_auc,worse_count,-49
afn,hg38->mm10,roc_auc,worse_count,-48
afn,hg38->dm6,accuracy,worse_count,-1
afn,hg38->dm6,pr_auc,worse_count,-1
afn,hg38->dm6,roc_auc,worse_count,-2
afn,dm6->hg38,accuracy,worse_count,-2
afn,dm6->hg38,pr_auc,worse_count,-2
afn,dm6->hg38,roc_auc,worse_count,-2
afn,mm10->hg38,accuracy,worse_count,-55
afn,mm10->hg38,pr_auc,worse_count,-53
afn,mm10->hg38,roc_auc,worse_count,-53
afn,mm10->dm6,accuracy,worse_count,-3
afn,mm10->dm6,pr_auc,worse_count,0
afn,mm10->dm6,roc_auc,worse_count,-1
cdan,dm6->mm10,accuracy,worse_count,-3
cdan,dm6->mm10,pr_auc,worse_count,-3
cdan,dm6->mm10,roc_auc,worse_count,-3
cdan,hg38->mm10,accuracy,worse_count,-50
cdan,hg38->mm10,pr_auc,worse_count,-55
cdan,hg38->mm10,roc_auc,worse_count,-55
cdan,hg38->dm6,accuracy,worse_count,-3
cdan,hg38->dm6,pr_auc,worse_count,-3
cdan,hg38->dm6,roc_auc,worse_count,-3
cdan,dm6->hg38,accuracy,worse_count,-3
cdan,dm6->hg38,pr_auc,worse_count,-3
cdan,dm6->hg38,roc_auc,worse_count,-3
cdan,mm10->hg38,accuracy,worse_count,-54
cdan,mm10->hg38,pr_auc,worse_count,-57
cdan,mm10->hg38,roc_auc,worse_count,-54
cdan,mm10->dm6,accuracy,worse_count,0
cdan,mm10->dm6,pr_auc,worse_count,0
cdan,mm10->dm6,roc_auc,worse_count,0
dan,dm6->mm10,accuracy,worse_count,-3
dan,dm6->mm10,pr_auc,worse_count,-3
dan,dm6->mm10,roc_auc,worse_count,-3
dan,hg38->mm10,accuracy,worse_count,-28
dan,hg38->mm10,pr_auc,worse_count,-33
dan,hg38->mm10,roc_auc,worse_count,-29
dan,hg38->dm6,accuracy,worse_count,-2
dan,hg38->dm6,pr_auc,worse_count,-2
dan,hg38->dm6,roc_auc,worse_count,-2
dan,dm6->hg38,accuracy,worse_count,-3
dan,dm6->hg38,pr_auc,worse_count,-1
dan,dm6->hg38,roc_auc,worse_count,-2
dan,mm10->hg38,accuracy,worse_count,-56
dan,mm10->hg38,pr_auc,worse_count,-55
dan,mm10->hg38,roc_auc,worse_count,-53
dan,mm10->dm6,accuracy,worse_count,0
dan,mm10->dm6,pr_auc,worse_count,0
dan,mm10->dm6,roc_auc,worse_count,0
dann,dm6->mm10,accuracy,worse_count,-3
dann,dm6->mm10,pr_auc,worse_count,-3
dann,dm6->mm10,roc_auc,worse_count,-3
dann,hg38->mm10,accuracy,worse_count,-54
dann,hg38->mm10,pr_auc,worse_count,-57
dann,hg38->mm10,roc_auc,worse_count,-56
dann,hg38->dm6,accuracy,worse_count,-3
dann,hg38->dm6,pr_auc,worse_count,-3
dann,hg38->dm6,roc_auc,worse_count,-3
dann,dm6->hg38,accuracy,worse_count,-1
dann,dm6->hg38,pr_auc,worse_count,-1
dann,dm6->hg38,roc_auc,worse_count,-1
dann,mm10->hg38,accuracy,worse_count,-58
dann,mm10->hg38,pr_auc,worse_count,-58
dann,mm10->hg38,roc_auc,worse_count,-57
dann,mm10->dm6,accuracy,worse_count,0
dann,mm10->dm6,pr_auc,worse_count,0
